manufactor,Year,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Price,Km,model,Supply_score
קיה,2016,2,אוטומטית,1250.0,בנזין,פרטית,פרטית,46000.0,119000.0,PICANTO,12410
אאודי,2016,2,אוטומטית,1000.0,בנזין,פרטית,פרטית,65900.0,119000.0,A1,720
טויוטה,2017,2,אוטומטית,1600.0,בנזין,ליסינג,פרטית,63000.0,147000.0,COROLLA,8332
פורד,2012,4,רובוטית,1600.0,בנזין,פרטית,פרטית,20000.0,162000.0,FOCUS,10966
מאזדה,2013,3,אוטומטית,2000.0,בנזין,חברה,פרטית,24000.0,200000.0,MAZDA 3,736
אאודי,2012,6,אוטומטית,1400.0,בנזין,פרטית,פרטית,43000.0,120000.0,A1,312
מאזדה,2013,3,אוטומטית,2000.0,בנזין,פרטית,פרטית,39000.0,193000.0,MAZDA 5,580
סוזוקי,2011,2,אוטומטית,1290.0,בנזין,פרטית,פרטית,35000.0,180000.0,SWIFT,1505
מאזדה,2015,3,אוטומטית,1500.0,בנזין,פרטית,פרטית,46000.0,125000.0,MAZDA 2,3346
מאזדה,2009,2,אוטומטית,2000.0,בנזין,פרטית,פרטית,25000.0,200000.0,MAZDA 5,1376
רנו,2014,2,אוטומטית,1197.0,בנזין,פרטית,פרטית,28000.0,130000.0,CLIO,1743
שברולט,1990,1,אוטומטית,5500.0,בנזין,חדש,אחר,95000.0,160000.0,CORVETTE,0
קיה,2015,1,אוטומטית,1250.0,בנזין,חדש,פרטית,42000.0,119000.0,PICANTO,11640
יונדאי,2017,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,56000.0,134000.0,I20,3013
מאזדה,2012,2,אוטומטית,2000.0,בנזין,פרטית,פרטית,35000.0,250000.0,MAZDA 5,663
קיה,2017,1,אוטומטית,1248.0,בנזין,חדש,פרטית,55000.0,59000.0,PICANTO,11036
אאודי,2014,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,73000.0,185000.0,A3,681
לקסוס,2010,3,אוטומטית,2500.0,בנזין,פרטית,פרטית,65000.0,125000.0,LEXUS IS250,46
הונדה,2018,2,אוטומטית,1800.0,בנזין,ליסינג,פרטית,75000.0,118000.0,CIVIC,2304
מרצדס,2007,4,אוטומטית,2500.0,בנזין,פרטית,פרטית,40000.0,240000.0,200,0
סובארו,2010,2,אוטומטית,1994.0,בנזין,פרטית,פרטית,28000.0,143000.0,B4,1193
פולקסווגן,2016,1,אוטומטית,1400.0,בנזין,חדש,פרטית,62000.0,151000.0,JETTA,1304
מאזדה,2018,3,אוטומטית,2000.0,בנזין,אחר,פרטית,74500.0,52000.0,MAZDA 3,4531
פיג'ו,2015,2,אוטומטית,1200.0,בנזין,פרטית,פרטית,30000.0,120000.0,308,512
סקודה,2013,4,אוטומטית,1200.0,בנזין,פרטית,פרטית,42000.0,86000.0,OCTAVIA,3181
מאזדה,2016,1,אוטומטית,1500.0,בנזין,חדש,פרטית,49000.0,89000.0,MAZDA 3,5600
סיטרואן,2018,1,אוטומטית,1200.0,בנזין,חדש,פרטית,61000.0,41000.0,C3,1049
אאודי,2010,7,אוטומטית,1800.0,בנזין,פרטית,פרטית,43000.0,177000.0,A4,114
הונדה,2014,2,אוטומטית,2000.0,בנזין,פרטית,פרטית,43000.0,148000.0,CIVIC,2802
סוזוקי,2007,3,ידנית,2000.0,דיזל,פרטית,פרטית,30000.0,179000.0,SX4,0
הונדה,2016,1,אוטומטית,1800.0,בנזין,חדש,פרטית,70000.0,44000.0,CIVIC,2396
יונדאי,2021,1,רובוטית,1200.0,בנזין,חדש,פרטית,81000.0,30000.0,I10,5532
קיה,2020,1,אוטומטית,1600.0,היברידי,חדש,ליסינג,79999.0,141000.0,NIRO,4373
שברולט,2015,3,אוטומטית,2000.0,בנזין,פרטית,פרטית,42000.0,160000.0,MALIBU,0
יונדאי,2020,1,אוטומטית,1000.0,בנזין,חדש,חברה,83000.0,42000.0,I20,6526
